"productId","productName","category","primaryKeywords","industries","applicationScenarios"
"2-electric-plus-jockey-pump-set","2 Electric + jockey pump set","Fire Series","2 Electric + jockey pump set|Fire Series","",""
"diesel-engine-long-shaft-fire-pump","Diesel Engine Long Shaft Fire Pump","Fire Series","Diesel Engine Long Shaft Fire Pump|Fire Series","",""
"diesel-engine-fire-pump","Diesel engine fire pump","Fire Series","Diesel engine fire pump|Fire Series","",""
"diesel-engine-irrigation-pump-trailer-type","Diesel engine irrigation pump trailer type","Irrigation Series","Diesel engine irrigation pump trailer type|Irrigation Series","",""
"diesel-engine-plus-jockey-pump-set","Diesel engine + jockey pump set","Fire Series","Diesel engine + jockey pump set|Fire Series","",""
"edj-fire-pump-set","EDJ Fire pump set","Fire Series","EDJ Fire pump set|Fire Series","",""
"electric-long-shaft-fire-pump","Electric Long-Shaft Fire Pump","Fire Series","Electric Long-Shaft Fire Pump|Fire Series","",""
"electric-horizontal-split-end-suction-pump","Electric horizontal split end suction pump","Fire Series","Electric horizontal split end suction pump|Fire Series","",""
"frequency-conversion-water-supply-equipment","Frequency conversion water supply equipment","Water supply series","Frequency conversion water supply equipment|Water supply series","",""
"horizontal-booster-pump-group","Horizontal booster pump group","Water supply series","Horizontal booster pump group|Water supply series","",""
"integrated-prefabricated-pump-station-frp","Integrated prefabricated pump station FRP","Sewage series","Integrated prefabricated pump station FRP|Sewage series","",""
"submersible-sewage-pump","Submersible sewage pump","Sewage series","Submersible sewage pump|Sewage series","",""
"vertical-stainless-steel-multistage-pump-jockey-pump","Vertical stainless steel multistage pump（Jockey pump）","Water supply series","Vertical stainless steel multistage pump（Jockey pump）|Water supply series","",""
